id,script,font,image,ground_truth,prediction,recognition_confidence,cer,wer
0,english,arial,data\dataset\english\arial\english_arial_00.png,Hello World OCR Test,cYanmaelaGenaYelow,0.6458128690719604,0.95,1.0
1,english,arial,data\dataset\english\arial\english_arial_01.png,Multilingual Text Detection,cYanmaulaentaYellowb,0.7634307742118835,0.8148148148148148,1.0
2,english,arial,data\dataset\english\arial\english_arial_02.png,Font Agnostic OCR Pipeline,cYananmaGentaYellowb,0.8658440709114075,0.9230769230769231,1.0
3,english,arial,data\dataset\english\arial\english_arial_03.png,Detection Sample Line Two,cYananmaGentYellowb,0.8146634101867676,0.8,1.0
4,english,calibri,data\dataset\english\calibri\english_calibri_00.png,Optical Character Recognition,cYanmanmaGentaYellowb,0.9030904173851013,0.8620689655172413,1.0
5,english,calibri,data\dataset\english\calibri\english_calibri_01.png,Testing Text Recognition Accuracy,cYanmaGentaYellowb,0.9215496778488159,0.8484848484848485,1.0
6,english,calibri,data\dataset\english\calibri\english_calibri_02.png,Computer Vision Pipeline,cYanmamaGentYellowb,0.861812174320221,0.9166666666666666,1.0
7,english,calibri,data\dataset\english\calibri\english_calibri_03.png,Language Detection Experiment,cYananmaGentaYellowb,0.906232476234436,0.8275862068965517,1.0
8,english,comic,data\dataset\english\comic\english_comic_00.png,Robust OCR Across Fonts,Rost OC Across fonts,0.5703678131103516,0.17391304347826086,0.75
9,english,comic,data\dataset\english\comic\english_comic_01.png,Synthetic Dataset Generation,cYananmaGntaYelo,0.7600804567337036,0.7857142857142857,1.0
10,english,comic,data\dataset\english\comic\english_comic_02.png,Machine Learning Text Analysis,Yanmcma etael,0.4467832148075104,0.7666666666666667,1.0
11,english,comic,data\dataset\english\comic\english_comic_03.png,Image Based Text Recognition,cYananmaGeentaYellowb,0.8624416589736938,0.7857142857142857,1.0
12,english,impact,data\dataset\english\impact\english_impact_00.png,Cross Language OCR Evaluation,cYanamaGentaYellowb,0.8994511961936951,0.8275862068965517,1.0
13,english,impact,data\dataset\english\impact\english_impact_01.png,Character Recognition Benchmark,cYanmanmaGentaYellowbl,0.8501754999160767,0.8387096774193549,1.0
14,english,impact,data\dataset\english\impact\english_impact_02.png,Deep Learning Vision System,cYanmanmaGentaYellowb,0.8894780278205872,0.9259259259259259,1.0
15,english,impact,data\dataset\english\impact\english_impact_03.png,Text Processing With OCR,cYanmamaGentaYellowb,0.9445292353630066,0.9166666666666666,1.0
16,english,times,data\dataset\english\times\english_times_00.png,Font Robustness Evaluation,cYanmaGentaYellowb,0.8932707905769348,0.9230769230769231,1.0
17,english,times,data\dataset\english\times\english_times_01.png,Multilingual Vision Pipeline,cYanmdaentaYellowb,0.8484256267547607,0.8571428571428571,1.0
18,english,times,data\dataset\english\times\english_times_02.png,Automated Text Detection,cYanmaGentaYellowb,0.8509732484817505,0.7916666666666666,1.0
19,english,times,data\dataset\english\times\english_times_03.png,OCR Performance Analysis,cYananmaGentaYellowb,0.9265831112861633,0.875,1.0
20,hindi,aparaj,data\dataset\hindi\aparaj\hindi_aparaj_00.png,नमस्ते दुनिया,cYYaYYamGYlowb,0.6454463005065918,1.0769230769230769,1.0
21,hindi,aparaj,data\dataset\hindi\aparaj\hindi_aparaj_01.png,बहुभाषी पाठ पहचान,cYaYYamGnGYowb,0.6195361018180847,1.0,1.0
22,hindi,aparaj,data\dataset\hindi\aparaj\hindi_aparaj_02.png,फॉन्ट एग्नोस्टिक ओसीआर पाइपलाइन,cYYalowb,0.7981630563735962,1.0,1.0
23,hindi,aparaj,data\dataset\hindi\aparaj\hindi_aparaj_03.png,यह एक परीक्षण है,cYYYanmaGaYlowb,0.6759719252586365,1.0,1.0
24,hindi,aparaj,data\dataset\hindi\aparaj\hindi_aparaj_04.png,ऑप्टिकल कैरेक्टर रिकग्निशन,cYYamalowb,0.6027281284332275,1.0,1.0
25,hindi,kokila,data\dataset\hindi\kokila\hindi_kokila_00.png,पाठ पहचान सटीकता परीक्षण,cYaYYmGatlowb,0.5823475122451782,1.0,1.0
26,hindi,kokila,data\dataset\hindi\kokila\hindi_kokila_01.png,कंप्यूटर विज़न पाइपलाइन,cYYYaGllowb,0.7826928496360779,1.0,1.0
27,hindi,kokila,data\dataset\hindi\kokila\hindi_kokila_02.png,भाषा पहचान प्रयोग,cYaYYamGllwb,0.6485913395881653,1.0,1.0
